trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-57.192794184127195,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-114.67186691042413,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-189.28937713327286,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-51.661600505921186,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-119.75564191777076,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-79.53023909572741,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-286.34716316627964,"{0: 10, 1: 1, 2: 7, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-40.24731018650321,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-172.1805681566314,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-193.49369669793103,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-162.43595295310394,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-65.01942506206014,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,11,-10.664947958566538,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-30.71153010817531,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-204.40442602990632,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-189.16604856857498,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,1,-86.07487424066488,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-125.32339060272946,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-192.30015777362772,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-81.18872798877186,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",30,12,-10.972879717174187,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,16,10.030561780468773,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
