trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.09256518073477,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-163.62928742492286,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.59933466661215,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.39888107730643,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.15123222836456,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.43613401507761,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.14549687731107,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.35640760142317,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.5863452977895,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.85294631285683,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,13,-12.229809197316484,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.71171407291015,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.87655713355049,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.23534960577734,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.60314970586802,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.18770597305243,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-105.16247123380818,"{0: 22, 1: 5, 2: 5, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-203.26372201062844,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.20257160724589,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.61495777468812,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-95.48490260044856,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.0891132282904,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.64582871998877,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.34689130534665,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.6897584397963,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.67772205211973,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-219.805429953368,"{0: 12, 1: 2, 2: 14, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,13,-53.3751777458765,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.82613945204852,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-180.08237647371493,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
